qtwebkit 2.3.4-4
randrproto 1.5.0-1
raptor 2.0.15-3
rarian 0.8.1-5
rasqal 1:0.9.33-1
readline 6.3.008-3
reaver 1.4-2
recode 3.6-8
recordproto 1.14.2-2
redis 3.0.6-1
redland 1:1.0.17-2
reiserfsprogs 3.6.24-1
renderproto 0.11.1-3
rest 0.7.93-1
rfkill 0.5-1
ristretto 0.8.0-1
rp-pppoe 3.12-1
rsync 3.1.2-1
rtkit 0.11-5
rtmpdump 1:2.4.r96.fa8646d-1
rubberband 1.8.1-3
ruby 2.3.0-1
run-parts 4.5.1-1
s-nail 14.8.6-1
sbc 1.3-1
scala 2.11.7-1
scala-sources 2.11.7-1
schroedinger 1.0.11-3
scons 2.4.1-1
screen 4.3.1-2
screenfetch 3.7.0-1
scrnsaverproto 1.2.2-2
sdl 1.2.15-7
sdl_image 1.2.12-3
seabios 1.9.0-1
seahorse 3.18.0-2
sed 4.2.2-3
serf 1.3.8-1
sg3_utils 1.41-1
shadow 4.2.1-3
shadowsocks-libev 2.4.4-1
shared-color-targets 0.1.5-1
shared-mime-info 1.5-1
signond 8.58-1
sip 4.16.9-2
slang 2.3.0-1
smbclient 4.3.4-1
snappy 1.1.3-2
sound-theme-freedesktop 0.8-2
soundtouch 1.9.0-3
source-highlight 3.1.8-6
spandsp 0.0.6-1
speech-dispatcher 0.8.3-6
speex 1.2rc2-1
speexdsp 1.2rc3-2
spice 0.12.6-1
sqlite 3.10.1-1
squashfs-tools 4.3-4
startup-notification 0.12-4
strigi 0.7.8-9
sublime-text-dev-imfix 3.3083-1
subversion 1.9.3-2
sudo 1.8.15-1
swt 4.4.2-1
sysfsutils 2.1.0-9
systemd 228-3
systemd-sysvcompat 228-3
t1lib 5.1.2-5
taglib 1.10-3
talloc 2.1.5-1
tar 1.28-1
tcc 0.9.26-2
tcl 8.6.4-1
tcping 1.3.5-4
tdb 1.3.8-1
telepathy-farstream 0.6.2-2
telepathy-glib 0.24.1-1
telepathy-logger 0.8.2-1
telepathy-logger-qt 15.04.0-2
telepathy-qt4 0.9.6.1-2
telepathy-qt5 0.9.6.1-2
tevent 0.9.26-1
texinfo 6.0-1
thin-provisioning-tools 0.5.6-2
thunar 1.6.10-2
thunar-archive-plugin 0.3.1-5
thunar-media-tags-plugin 0.2.1-2
thunar-volman 0.8.1-1
tidyhtml 1.46-3
tinycdb 0.78-2
tk 8.6.4-1
totem-plparser 3.10.6-1
traceroute 2.0.21-1
transmission-gtk 2.84-2
tree 1.7.0-1
ttf-dejavu 2.34-2
ttf-droid 20121017-4
ttf-liberation 2.00.1-5
ttf-oxygen 1:5.4.3-1
ttf-ubuntu-font-family 0.83-1
tumbler 0.1.31-1
